feature,importance
cat__symbol_KELYB,1.675323195000325
cat__symbol_BDCZ,0.8747972473182553
cat__symbol_SAMAU,0.6977502951457456
cat__symbol_OGEN,0.43668804364529
cat__symbol_SREA,0.34453393720679576
cat__symbol_QLV,0.3414661201853142
cat__symbol_PIN,0.3223567197733163
cat__symbol_SYLD,0.312632213517052
cat__symbol_IEFA,0.28987169170441635
cat__symbol_GGT,0.2719665298529899
cat__symbol_UUP,0.21922072627165798
cat__symbol_BZUN,0.21619511706827488
cat__symbol_CVI,0.20780560023880726
cat__symbol_PSCE,0.1969113065713559
num__lag_close_3,0.1898686701927113
cat__symbol_TITAN,0.17284016946396905
num__vwap,0.17073134771774853
cat__symbol_INDUSINDBK,0.16803009699060875
cat__symbol_BAJFINANCE,0.16597253545262253
cat__symbol_TATAMOTORS,0.16262419303728862
cat__symbol_NTPC,0.15698603266812317
cat__symbol_RUBI,0.15169887726970854
cat__symbol_CIPLA,0.1495861572785341
cat__symbol_RLI,0.14818307706426223
cat__symbol_POWERGRID,0.1431791041401382
cat__symbol_BFIN,0.1407623645295352
cat__symbol_KURA,0.1377130797072142
cat__symbol_SBNA,0.1366886891669275
cat__symbol_ITC,0.13604134349531988
num__roll_mean_close_20,0.13385326907986664
cat__symbol_BAJAJFINSV,0.13284941121522967
cat__symbol_HDFC,0.12830378882984814
cat__symbol_WIPRO,0.12193826586835226
cat__symbol_INFY,0.11625826666366175
cat__symbol_HEROMOTOCO,0.11552582054960435
cat__symbol_HCLTECH,0.11435223990314748
cat__symbol_JMF,0.10897537667679522
cat__symbol_NESTLEIND,0.10821672805008252
cat__symbol_HWKN,0.10641032021429143
cat__symbol_TCS,0.10456931213393246
num__roll_mean_volume_10,0.10251955598020711
cat__symbol_ZEEL,0.09957056334018305
cat__symbol_COALINDIA,0.09913225136161352
cat__symbol_SHREECEM,0.09834810112464477
num__lag_close_2,0.09240612561907957
cat__symbol_VEDL,0.09095706799068116
cat__symbol_RELIANCE,0.09024570716888247
cat__symbol_KOTAKBANK,0.08426845796096541
cat__symbol_ONGC,0.08272728881535897
num__price_position,0.08151195427340198
num__volume,0.07832785956816042
cat__symbol_LT,0.07762953493564373
cat__symbol_CPHC,0.0736121577210093
cat__symbol_JSWSTEEL,0.07315607517520932
cat__symbol_IOC,0.07020649800701448
cat__symbol_BAJAJ-AUTO,0.06904882363666574
num__lag_close_10,0.06827180583294043
num__adj_close,0.06812470078646546
num__roll_std_close_20,0.06724509698207869
cat__symbol_UPL,0.06560714203181683
cat__symbol_SBIN,0.0646891204525075
num__lag_close_1,0.06431985740956551
cat__symbol_HINDUNILVR,0.06236111098231656
cat__symbol_MARUTI,0.061149542191573224
num__lag_volume_1,0.06106857646362909
cat__symbol_HDFCBANK,0.05850250767513567
num__deliv_volume,0.05714735910515649
cat__symbol_HINDALCO,0.05623266376795146
cat__symbol_TECHM,0.05507600737768556
cat__symbol_ICICIBANK,0.053862250938933084
num__low,0.05354038090265202
cat__symbol_IBA,0.05328717611863851
num__roll_mean_close_10,0.052989867594185815
num__lag_volume_3,0.05227822201952008
num__day_of_week,0.051633560783395996
num__roll_std_close_10,0.05138529425410101
cat__symbol_BRITANNIA,0.05035775950696659
num__lag_return_1,0.048947064587666046
num__relative_strength,0.048649013361543064
cat__symbol_SUNPHARMA,0.04690658825297386
num__market_return_1d,0.0467513695817143
num__turnover,0.046245211029937776
cat__series_COMMON,0.04558777160980834
cat__source_archive,0.04558777160980834
cat__market_US,0.04558777160980834
cat__symbol_GRASIM,0.044836539628023774
num__intraday_range,0.04478989400590648
cat__symbol_ASIANPAINT,0.04231603138987207
num__volume_ratio_10,0.04139506835603337
cat__symbol_DRREDDY,0.040453082027631766
num__close,0.03786683464589559
num__lag_volume_5,0.036128270874888714
num__volatility_10,0.03595859248539441
cat__market_NSE,0.03506826263331126
cat__series_EQ,0.03506826263331126
cat__source_archive (1),0.03506826263331126
cat__symbol_WSTL,0.032034432200011835
num__volatility_5,0.031684630536045255
num__lag_volume_10,0.03152976790133166
cat__symbol_BHV,0.026130188116572722
num__lag_return_2,0.024823461333627554
cat__symbol_TATASTEEL,0.024508005130662387
num__lag_close_5,0.023115330827857983
num__roll_mean_close_5,0.02274921041194911
num__high,0.022466126946729562
num__candle_body,0.022210271583636063
cat__symbol_GAIL,0.020915659374672154
cat__symbol_AXISBANK,0.020721633511728642
num__lag_return_3,0.019730705450147653
num__trades,0.01849507408847461
num__month,0.018208313141030885
num__volatility_20,0.01763241716200014
num__lag_volume_2,0.0169438697788754
num__roll_mean_volume_5,0.01593356712578781
num__market_up_ratio,0.015900530013986714
cat__symbol_BPCL,0.015199821344575811
num__momentum_3,0.013558139804988033
cat__symbol_EICHERMOT,0.012595043184303944
num__return_1d,0.011506163618289312
num__open,0.011411600499007196
num__log_return_1d,0.011259695176408124
cat__symbol_ULTRACEMCO,0.01110506932448568
num__vwap_gap,0.009009438804814102
num__roll_mean_volume_20,0.006994597639577707
num__volume_momentum_3,0.006276765000681499
num__momentum_10,0.005195638402765483
num__lag_return_5,0.004548375384532498
num__prev_close,0.0036532370062216744
num__lag_return_10,0.002670074690905213
cat__symbol_BHARTIARTL,0.001239311625468388
num__roll_std_close_5,0.0009703137145565313
cat__symbol_M&M,0.0007661039662821587
cat__symbol_ADANIPORTS,0.0003009046139639683
num__pct_deliv,5.630299577397084e-06
